month,country,net_flow_musd,table
2023-10,Netherlands,-5641,slt1_for_lt_total_net
2023-10,Netherlands,1421,slt2_us_lt_total_net
2023-10,New Zealand,3,slt1_for_lt_total_net
2023-10,New Zealand,-181,slt2_us_lt_total_net
2023-10,Norway,-3906,slt1_for_lt_total_net
2023-10,Norway,-180,slt2_us_lt_total_net
2023-10,Of Which: Asset-Backed Securities,6553,slt1_for_lt_total_net
2023-10,Of Which: Asset-Backed Securities,2444,slt2_us_lt_total_net
2023-10,Of Which: Depository Institutions,5351,slt1_for_lt_total_net
2023-10,Of Which: Depository Institutions,9377,slt2_us_lt_total_net
2023-10,Of Which: Foreign Non-Official,-23179,slt1_for_lt_total_net
2023-10,Of Which: Foreign Non-Official Asset-Backed Securities,1534,slt1_for_lt_total_net
2023-10,Of Which: Foreign Non-Official Depository Institutions,4975,slt1_for_lt_total_net
2023-10,Of Which: Foreign Non-Official Fund Shares,-15190,slt1_for_lt_total_net
2023-10,Of Which: Foreign Non-Official Non-Financial Organizations,-46505,slt1_for_lt_total_net
2023-10,Of Which: Foreign Non-Official Other Financial Organizations,-26352,slt1_for_lt_total_net
2023-10,Of Which: Foreign Non-Official State & Local General Government,-1259,slt1_for_lt_total_net
2023-10,Of Which: Foreign Official,-24662,slt1_for_lt_total_net
2023-10,Of Which: Foreign Official Asset-Backed Securities,5019,slt1_for_lt_total_net
2023-10,Of Which: Foreign Official Depository Institutions,376,slt1_for_lt_total_net
2023-10,Of Which: Foreign Official Fund Shares,698,slt1_for_lt_total_net
2023-10,Of Which: Foreign Official Non-Financial Organizations,-10073,slt1_for_lt_total_net
2023-10,Of Which: Foreign Official Other Financial Organizations,334,slt1_for_lt_total_net
2023-10,Of Which: Foreign Official State & Local General Government,-25,slt1_for_lt_total_net
2023-10,Of Which: Fund Shares,-14492,slt1_for_lt_total_net
2023-10,Of Which: Fund Shares,-2955,slt2_us_lt_total_net
2023-10,Of Which: Non-Financial Organizations,-56578,slt1_for_lt_total_net
2023-10,Of Which: Non-Financial Organizations,5784,slt2_us_lt_total_net
2023-10,Of Which: Other Financial Organizations,-26018,slt1_for_lt_total_net
2023-10,Of Which: Other Financial Organizations,-32809,slt2_us_lt_total_net
2023-10,Of Which: State & Local General Government,-1284,slt1_for_lt_total_net
2023-10,Pakistan,0,slt1_for_lt_total_net
2023-10,Pakistan,2,slt2_us_lt_total_net
2023-10,Panama,321,slt1_for_lt_total_net
2023-10,Panama,233,slt2_us_lt_total_net
2023-10,Peru,-466,slt1_for_lt_total_net
2023-10,Peru,-208,slt2_us_lt_total_net
2023-10,Philippines,1787,slt1_for_lt_total_net
2023-10,Philippines,-32,slt2_us_lt_total_net
2023-10,Poland,-3126,slt1_for_lt_total_net
2023-10,Poland,305,slt2_us_lt_total_net
2023-10,Portugal,-219,slt1_for_lt_total_net
2023-10,Portugal,-81,slt2_us_lt_total_net
2023-10,Romania,-718,slt1_for_lt_total_net
2023-10,Romania,-178,slt2_us_lt_total_net
2023-10,Russia,38,slt1_for_lt_total_net
2023-10,Russia,-167,slt2_us_lt_total_net
2023-10,Saint Kitts and Nevis,-72,slt1_for_lt_total_net
2023-10,Saudi Arabia,1000,slt1_for_lt_total_net
2023-10,Serbia,-105,slt1_for_lt_total_net
2023-10,Serbia,-22,slt2_us_lt_total_net
2023-10,Singapore,6831,slt1_for_lt_total_net
2023-10,Singapore,-334,slt2_us_lt_total_net
2023-10,South Africa,7,slt1_for_lt_total_net
2023-10,South Africa,-289,slt2_us_lt_total_net
2023-10,Spain,1318,slt1_for_lt_total_net
2023-10,Spain,-869,slt2_us_lt_total_net
2023-10,Sweden,-19,slt1_for_lt_total_net
2023-10,Sweden,-580,slt2_us_lt_total_net
2023-10,Switzerland,-6560,slt1_for_lt_total_net
2023-10,Switzerland,-1334,slt2_us_lt_total_net
2023-10,Syria,0,slt1_for_lt_total_net
2023-10,Taiwan,653,slt1_for_lt_total_net
2023-10,Taiwan,-1483,slt2_us_lt_total_net
2023-10,Thailand,-278,slt1_for_lt_total_net
2023-10,Thailand,-2,slt2_us_lt_total_net
2023-10,Total Africa,-124,slt1_for_lt_total_net
2023-10,Total Africa,-200,slt2_us_lt_total_net
2023-10,Total Asia,10447,slt1_for_lt_total_net
2023-10,Total Asia,-12618,slt2_us_lt_total_net
2023-10,Total Caribbean,-3609,slt1_for_lt_total_net
2023-10,Total Caribbean,-667,slt2_us_lt_total_net
2023-10,Total Europe,-38686,slt1_for_lt_total_net
2023-10,Total Europe,-4882,slt2_us_lt_total_net
2023-10,Total IROs,7923,slt1_for_lt_total_net
2023-10,Total IROs,2703,slt2_us_lt_total_net
2023-10,Total Latin America,-3686,slt1_for_lt_total_net
2023-10,Total Latin America,-765,slt2_us_lt_total_net
2023-10,Total Other,-12220,slt1_for_lt_total_net
2023-10,Total Other,-1166,slt2_us_lt_total_net
2023-10,Total Regional Orgs.,58,slt1_for_lt_total_net
2023-10,Total Regional Orgs.,455,slt2_us_lt_total_net
2023-10,Trinidad and Tobago,29,slt1_for_lt_total_net
2023-10,Trinidad and Tobago,-7,slt2_us_lt_total_net
2023-10,Turkey,6,slt1_for_lt_total_net
2023-10,Turkey,-229,slt2_us_lt_total_net
2023-10,Ukraine,-875,slt1_for_lt_total_net
2023-10,Ukraine,-16,slt2_us_lt_total_net
2023-10,United Arab Emirates,1506,slt1_for_lt_total_net
2023-10,United Arab Emirates,-340,slt2_us_lt_total_net
2023-10,United Kingdom,9038,slt1_for_lt_total_net
2023-10,United Kingdom,325,slt2_us_lt_total_net
2023-10,Uruguay,362,slt1_for_lt_total_net
2023-10,Uruguay,-9,slt2_us_lt_total_net
2023-10,Venezuela,-24,slt1_for_lt_total_net
2023-10,Venezuela,95,slt2_us_lt_total_net
2023-11,All Countries,156573,slt1_for_lt_total_net
2023-11,All Countries,21287,slt2_us_lt_total_net
2023-11,Anguilla,124,slt1_for_lt_total_net
2023-11,Argentina,151,slt1_for_lt_total_net
2023-11,Argentina,1665,slt2_us_lt_total_net
2023-11,Aruba,10,slt1_for_lt_total_net
2023-11,Aruba,1,slt2_us_lt_total_net
2023-11,Australia,-541,slt1_for_lt_total_net
2023-11,Australia,1464,slt2_us_lt_total_net
2023-11,Austria,206,slt1_for_lt_total_net
2023-11,Austria,275,slt2_us_lt_total_net
2023-11,Bahamas,1088,slt1_for_lt_total_net
2023-11,Bahamas,55,slt2_us_lt_total_net
2023-11,Barbados,212,slt1_for_lt_total_net
2023-11,Barbados,1,slt2_us_lt_total_net
2023-11,Belgium,-517,slt1_for_lt_total_net
2023-11,Belgium,-461,slt2_us_lt_total_net
2023-11,Bermuda,8186,slt1_for_lt_total_net
2023-11,Bermuda,-538,slt2_us_lt_total_net
2023-11,Brazil,-877,slt1_for_lt_total_net
2023-11,Brazil,637,slt2_us_lt_total_net
2023-11,British Virgin Islands,-3080,slt1_for_lt_total_net
2023-11,British Virgin Islands,-417,slt2_us_lt_total_net
2023-11,Bulgaria,-1,slt1_for_lt_total_net
2023-11,Bulgaria,326,slt2_us_lt_total_net
2023-11,Canada,56232,slt1_for_lt_total_net
2023-11,Canada,4587,slt2_us_lt_total_net
2023-11,Cayman Islands,3158,slt1_for_lt_total_net
2023-11,Cayman Islands,-94,slt2_us_lt_total_net
2023-11,Chile,2597,slt1_for_lt_total_net
2023-11,Chile,115,slt2_us_lt_total_net
2023-11,"China, Mainland",-17013,slt1_for_lt_total_net
2023-11,"China, Mainland",-1450,slt2_us_lt_total_net
2023-11,Colombia,2296,slt1_for_lt_total_net
2023-11,Colombia,695,slt2_us_lt_total_net
2023-11,Costa Rica,465,slt1_for_lt_total_net
2023-11,Costa Rica,483,slt2_us_lt_total_net
2023-11,Cuba,0,slt1_for_lt_total_net
2023-11,Cuba,0,slt2_us_lt_total_net
2023-11,Curacao,22,slt1_for_lt_total_net
2023-11,Curacao,-846,slt2_us_lt_total_net
2023-11,Cyprus,33,slt1_for_lt_total_net
2023-11,Cyprus,-33,slt2_us_lt_total_net
2023-11,Czech Republic,956,slt1_for_lt_total_net
2023-11,Czech Republic,109,slt2_us_lt_total_net
2023-11,Denmark,548,slt1_for_lt_total_net
2023-11,Denmark,0,slt2_us_lt_total_net
2023-11,Ecuador,-1,slt1_for_lt_total_net
2023-11,Ecuador,-61,slt2_us_lt_total_net
2023-11,Egypt,54,slt1_for_lt_total_net
2023-11,Egypt,63,slt2_us_lt_total_net
2023-11,Finland,1364,slt1_for_lt_total_net
2023-11,Finland,-696,slt2_us_lt_total_net
2023-11,France,44584,slt1_for_lt_total_net
2023-11,France,4188,slt2_us_lt_total_net
2023-11,Germany,-2880,slt1_for_lt_total_net
2023-11,Germany,-1231,slt2_us_lt_total_net
2023-11,Grand Total,158037,slt1_for_lt_total_net
2023-11,Grand Total,23034,slt2_us_lt_total_net
2023-11,Greece,24,slt1_for_lt_total_net
2023-11,Greece,410,slt2_us_lt_total_net
2023-11,Guatemala,236,slt1_for_lt_total_net
2023-11,Guatemala,-16,slt2_us_lt_total_net
2023-11,Guernsey,66,slt1_for_lt_total_net
2023-11,Guernsey,-254,slt2_us_lt_total_net
2023-11,Hong Kong,7634,slt1_for_lt_total_net
2023-11,Hong Kong,-286,slt2_us_lt_total_net
2023-11,Hungary,-103,slt1_for_lt_total_net
2023-11,Hungary,233,slt2_us_lt_total_net
2023-11,India,-3994,slt1_for_lt_total_net
2023-11,India,-1098,slt2_us_lt_total_net
2023-11,Indonesia,52,slt1_for_lt_total_net
2023-11,Indonesia,336,slt2_us_lt_total_net
2023-11,International,1096,slt1_for_lt_total_net
2023-11,International,1828,slt2_us_lt_total_net
2023-11,Ireland,14673,slt1_for_lt_total_net
2023-11,Ireland,6828,slt2_us_lt_total_net
2023-11,Israel,5042,slt1_for_lt_total_net
2023-11,Israel,-38,slt2_us_lt_total_net
2023-11,Italy,-72,slt1_for_lt_total_net
2023-11,Italy,508,slt2_us_lt_total_net
2023-11,Jamaica,151,slt1_for_lt_total_net
2023-11,Jamaica,60,slt2_us_lt_total_net
2023-11,Japan,-1342,slt1_for_lt_total_net
2023-11,Japan,3766,slt2_us_lt_total_net
2023-11,Jersey,182,slt1_for_lt_total_net
2023-11,Jersey,2175,slt2_us_lt_total_net
2023-11,Kazakhstan,-579,slt1_for_lt_total_net
2023-11,Kazakhstan,-104,slt2_us_lt_total_net
2023-11,"Korea, South",3971,slt1_for_lt_total_net
2023-11,"Korea, South",710,slt2_us_lt_total_net
2023-11,Kuwait,2539,slt1_for_lt_total_net
2023-11,Kuwait,13,slt2_us_lt_total_net
2023-11,Lebanon,-2,slt1_for_lt_total_net
2023-11,Lebanon,0,slt2_us_lt_total_net
2023-11,Liberia,17,slt1_for_lt_total_net
2023-11,Liberia,-195,slt2_us_lt_total_net
2023-11,Luxembourg,12839,slt1_for_lt_total_net
2023-11,Luxembourg,854,slt2_us_lt_total_net
2023-11,Malaysia,486,slt1_for_lt_total_net
2023-11,Malaysia,211,slt2_us_lt_total_net
2023-11,Mauritius,72,slt1_for_lt_total_net
2023-11,Mauritius,-67,slt2_us_lt_total_net
2023-11,Memo: Euro Area,73926,slt1_for_lt_total_net
2023-11,Memo: Euro Area,11292,slt2_us_lt_total_net
2023-11,Memo: European Union,76537,slt1_for_lt_total_net
2023-11,Memo: European Union,11234,slt2_us_lt_total_net
2023-11,Mexico,1854,slt1_for_lt_total_net
2023-11,Mexico,396,slt2_us_lt_total_net
2023-11,Monaco,-8,slt1_for_lt_total_net
2023-11,Monaco,8,slt2_us_lt_total_net
2023-11,Morocco,-155,slt1_for_lt_total_net
2023-11,Morocco,-43,slt2_us_lt_total_net
2023-11,Netherlands,2681,slt1_for_lt_total_net
2023-11,Netherlands,-1566,slt2_us_lt_total_net
2023-11,New Zealand,-322,slt1_for_lt_total_net
2023-11,New Zealand,-51,slt2_us_lt_total_net
2023-11,Norway,-6192,slt1_for_lt_total_net
2023-11,Norway,-145,slt2_us_lt_total_net
2023-11,Of Which: Asset-Backed Securities,18289,slt1_for_lt_total_net
2023-11,Of Which: Asset-Backed Securities,1813,slt2_us_lt_total_net
2023-11,Of Which: Depository Institutions,820,slt1_for_lt_total_net
2023-11,Of Which: Depository Institutions,-6899,slt2_us_lt_total_net
2023-11,Of Which: Foreign Non-Official,193023,slt1_for_lt_total_net
2023-11,Of Which: Foreign Non-Official Asset-Backed Securities,21414,slt1_for_lt_total_net
2023-11,Of Which: Foreign Non-Official Depository Institutions,615,slt1_for_lt_total_net
2023-11,Of Which: Foreign Non-Official Fund Shares,8275,slt1_for_lt_total_net
2023-11,Of Which: Foreign Non-Official Non-Financial Organizations,14144,slt1_for_lt_total_net
2023-11,Of Which: Foreign Non-Official Other Financial Organizations,21051,slt1_for_lt_total_net
2023-11,Of Which: Foreign Non-Official State & Local General Government,-909,slt1_for_lt_total_net
2023-11,Of Which: Foreign Official,-34986,slt1_for_lt_total_net
2023-11,Of Which: Foreign Official Asset-Backed Securities,-3125,slt1_for_lt_total_net
2023-11,Of Which: Foreign Official Depository Institutions,205,slt1_for_lt_total_net
2023-11,Of Which: Foreign Official Fund Shares,488,slt1_for_lt_total_net
2023-11,Of Which: Foreign Official Non-Financial Organizations,1168,slt1_for_lt_total_net
2023-11,Of Which: Foreign Official Other Financial Organizations,1214,slt1_for_lt_total_net
2023-11,Of Which: Foreign Official State & Local General Government,-31,slt1_for_lt_total_net
2023-11,Of Which: Fund Shares,8763,slt1_for_lt_total_net
2023-11,Of Which: Fund Shares,1770,slt2_us_lt_total_net
2023-11,Of Which: Non-Financial Organizations,15312,slt1_for_lt_total_net
2023-11,Of Which: Non-Financial Organizations,2665,slt2_us_lt_total_net
2023-11,Of Which: Other Financial Organizations,22265,slt1_for_lt_total_net
2023-11,Of Which: Other Financial Organizations,27154,slt2_us_lt_total_net
2023-11,Of Which: State & Local General Government,-940,slt1_for_lt_total_net
2023-11,Pakistan,-1,slt1_for_lt_total_net
2023-11,Pakistan,18,slt2_us_lt_total_net
2023-11,Panama,448,slt1_for_lt_total_net
2023-11,Panama,-169,slt2_us_lt_total_net
2023-11,Peru,419,slt1_for_lt_total_net
2023-11,Peru,112,slt2_us_lt_total_net
2023-11,Philippines,4048,slt1_for_lt_total_net
2023-11,Philippines,46,slt2_us_lt_total_net
2023-11,Poland,599,slt1_for_lt_total_net
2023-11,Poland,55,slt2_us_lt_total_net
2023-11,Portugal,-37,slt1_for_lt_total_net
2023-11,Portugal,-101,slt2_us_lt_total_net
2023-11,Romania,-712,slt1_for_lt_total_net
2023-11,Romania,-451,slt2_us_lt_total_net
2023-11,Russia,-52,slt1_for_lt_total_net
2023-11,Russia,-76,slt2_us_lt_total_net
2023-11,Saint Kitts and Nevis,43,slt1_for_lt_total_net
2023-11,Saudi Arabia,-566,slt1_for_lt_total_net
2023-11,Serbia,-166,slt1_for_lt_total_net
2023-11,Serbia,-20,slt2_us_lt_total_net
2023-11,Singapore,-4056,slt1_for_lt_total_net
2023-11,Singapore,-1441,slt2_us_lt_total_net
2023-11,South Africa,138,slt1_for_lt_total_net
2023-11,South Africa,-38,slt2_us_lt_total_net
2023-11,Spain,1189,slt1_for_lt_total_net
2023-11,Spain,2175,slt2_us_lt_total_net
2023-11,Sweden,1324,slt1_for_lt_total_net
2023-11,Sweden,-330,slt2_us_lt_total_net
2023-11,Switzerland,3833,slt1_for_lt_total_net
2023-11,Switzerland,-1518,slt2_us_lt_total_net
2023-11,Syria,0,slt1_for_lt_total_net
2023-11,Taiwan,2061,slt1_for_lt_total_net
2023-11,Taiwan,831,slt2_us_lt_total_net
2023-11,Thailand,-977,slt1_for_lt_total_net
2023-11,Thailand,-247,slt2_us_lt_total_net
2023-11,Total Africa,125,slt1_for_lt_total_net
2023-11,Total Africa,-238,slt2_us_lt_total_net
2023-11,Total Asia,-2118,slt1_for_lt_total_net
2023-11,Total Asia,1347,slt2_us_lt_total_net
2023-11,Total Caribbean,9954,slt1_for_lt_total_net
2023-11,Total Caribbean,-1672,slt2_us_lt_total_net
2023-11,Total Europe,84937,slt1_for_lt_total_net
2023-11,Total Europe,11839,slt2_us_lt_total_net
2023-11,Total IROs,1464,slt1_for_lt_total_net
2023-11,Total IROs,1747,slt2_us_lt_total_net
2023-11,Total Latin America,8437,slt1_for_lt_total_net
2023-11,Total Latin America,4140,slt2_us_lt_total_net
2023-11,Total Other,-957,slt1_for_lt_total_net
2023-11,Total Other,1284,slt2_us_lt_total_net
2023-11,Total Regional Orgs.,368,slt1_for_lt_total_net
2023-11,Total Regional Orgs.,-81,slt2_us_lt_total_net
2023-11,Trinidad and Tobago,-17,slt1_for_lt_total_net
2023-11,Trinidad and Tobago,-8,slt2_us_lt_total_net
2023-11,Turkey,-5,slt1_for_lt_total_net
2023-11,Turkey,491,slt2_us_lt_total_net
2023-11,Ukraine,2077,slt1_for_lt_total_net
2023-11,Ukraine,-19,slt2_us_lt_total_net
2023-11,United Arab Emirates,1464,slt1_for_lt_total_net
2023-11,United Arab Emirates,46,slt2_us_lt_total_net
2023-11,United Kingdom,9161,slt1_for_lt_total_net
2023-11,United Kingdom,-47,slt2_us_lt_total_net
2023-11,Uruguay,518,slt1_for_lt_total_net
2023-11,Uruguay,200,slt2_us_lt_total_net
2023-11,Venezuela,-48,slt1_for_lt_total_net
2023-11,Venezuela,7,slt2_us_lt_total_net
2023-12,All Countries,27754,slt1_for_lt_total_net
2023-12,All Countries,-9127,slt2_us_lt_total_net
2023-12,Anguilla,1595,slt1_for_lt_total_net
2023-12,Argentina,-5,slt1_for_lt_total_net
2023-12,Argentina,-123,slt2_us_lt_total_net
2023-12,Aruba,11,slt1_for_lt_total_net
2023-12,Aruba,-1,slt2_us_lt_total_net
2023-12,Australia,4393,slt1_for_lt_total_net
2023-12,Australia,1813,slt2_us_lt_total_net
2023-12,Austria,369,slt1_for_lt_total_net
2023-12,Austria,-204,slt2_us_lt_total_net
2023-12,Bahamas,2492,slt1_for_lt_total_net
2023-12,Bahamas,2,slt2_us_lt_total_net
2023-12,Barbados,130,slt1_for_lt_total_net
2023-12,Barbados,1,slt2_us_lt_total_net
2023-12,Belgium,-4412,slt1_for_lt_total_net
2023-12,Belgium,-484,slt2_us_lt_total_net
2023-12,Bermuda,2997,slt1_for_lt_total_net
2023-12,Bermuda,477,slt2_us_lt_total_net
2023-12,Brazil,2700,slt1_for_lt_total_net
2023-12,Brazil,1572,slt2_us_lt_total_net
2023-12,British Virgin Islands,-4218,slt1_for_lt_total_net
2023-12,British Virgin Islands,296,slt2_us_lt_total_net
2023-12,Bulgaria,9,slt1_for_lt_total_net
2023-12,Bulgaria,0,slt2_us_lt_total_net
2023-12,Canada,-17663,slt1_for_lt_total_net
2023-12,Canada,7599,slt2_us_lt_total_net
2023-12,Cayman Islands,-305,slt1_for_lt_total_net
2023-12,Cayman Islands,-8620,slt2_us_lt_total_net
2023-12,Chile,-1277,slt1_for_lt_total_net
2023-12,Chile,-388,slt2_us_lt_total_net
2023-12,"China, Mainland",-7230,slt1_for_lt_total_net
2023-12,"China, Mainland",104,slt2_us_lt_total_net
2023-12,Colombia,924,slt1_for_lt_total_net
2023-12,Colombia,-270,slt2_us_lt_total_net
2023-12,Costa Rica,97,slt1_for_lt_total_net
2023-12,Costa Rica,5,slt2_us_lt_total_net
2023-12,Cuba,0,slt1_for_lt_total_net
2023-12,Cuba,0,slt2_us_lt_total_net
2023-12,Curacao,-140,slt1_for_lt_total_net
2023-12,Curacao,-208,slt2_us_lt_total_net
2023-12,Cyprus,-10,slt1_for_lt_total_net
2023-12,Cyprus,-114,slt2_us_lt_total_net
2023-12,Czech Republic,604,slt1_for_lt_total_net
2023-12,Czech Republic,100,slt2_us_lt_total_net
2023-12,Denmark,-409,slt1_for_lt_total_net
2023-12,Denmark,-185,slt2_us_lt_total_net
2023-12,Ecuador,0,slt1_for_lt_total_net
2023-12,Ecuador,-35,slt2_us_lt_total_net
2023-12,Egypt,1,slt1_for_lt_total_net
2023-12,Egypt,-17,slt2_us_lt_total_net
2023-12,Finland,-1103,slt1_for_lt_total_net
2023-12,Finland,-162,slt2_us_lt_total_net
2023-12,France,-3616,slt1_for_lt_total_net
2023-12,France,-235,slt2_us_lt_total_net
2023-12,Germany,1705,slt1_for_lt_total_net
2023-12,Germany,-1848,slt2_us_lt_total_net
2023-12,Grand Total,34439,slt1_for_lt_total_net
2023-12,Grand Total,-5152,slt2_us_lt_total_net
2023-12,Greece,-103,slt1_for_lt_total_net
2023-12,Greece,-111,slt2_us_lt_total_net
2023-12,Guatemala,393,slt1_for_lt_total_net
2023-12,Guatemala,-38,slt2_us_lt_total_net
2023-12,Guernsey,781,slt1_for_lt_total_net
2023-12,Guernsey,-332,slt2_us_lt_total_net
2023-12,Hong Kong,17327,slt1_for_lt_total_net
2023-12,Hong Kong,-679,slt2_us_lt_total_net
2023-12,Hungary,21,slt1_for_lt_total_net
2023-12,Hungary,-54,slt2_us_lt_total_net
2023-12,India,4100,slt1_for_lt_total_net
2023-12,India,2494,slt2_us_lt_total_net
2023-12,Indonesia,1546,slt1_for_lt_total_net
2023-12,Indonesia,665,slt2_us_lt_total_net
2023-12,International,6545,slt1_for_lt_total_net
2023-12,International,2829,slt2_us_lt_total_net
2023-12,Ireland,12458,slt1_for_lt_total_net
2023-12,Ireland,-4857,slt2_us_lt_total_net
2023-12,Israel,-2221,slt1_for_lt_total_net
2023-12,Israel,-999,slt2_us_lt_total_net
2023-12,Italy,58,slt1_for_lt_total_net
2023-12,Italy,-666,slt2_us_lt_total_net
2023-12,Jamaica,-2,slt1_for_lt_total_net
2023-12,Jamaica,10,slt2_us_lt_total_net
2023-12,Japan,-21925,slt1_for_lt_total_net
2023-12,Japan,-869,slt2_us_lt_total_net
2023-12,Jersey,23,slt1_for_lt_total_net
2023-12,Jersey,3476,slt2_us_lt_total_net
2023-12,Kazakhstan,130,slt1_for_lt_total_net
2023-12,Kazakhstan,-38,slt2_us_lt_total_net
2023-12,"Korea, South",660,slt1_for_lt_total_net
2023-12,"Korea, South",-587,slt2_us_lt_total_net
2023-12,Kuwait,3850,slt1_for_lt_total_net
2023-12,Kuwait,41,slt2_us_lt_total_net
2023-12,Lebanon,5,slt1_for_lt_total_net
2023-12,Lebanon,-1,slt2_us_lt_total_net
2023-12,Liberia,31,slt1_for_lt_total_net
2023-12,Liberia,-45,slt2_us_lt_total_net
2023-12,Luxembourg,-2274,slt1_for_lt_total_net
2023-12,Luxembourg,2715,slt2_us_lt_total_net
2023-12,Malaysia,-93,slt1_for_lt_total_net
2023-12,Malaysia,317,slt2_us_lt_total_net
2023-12,Mauritius,0,slt1_for_lt_total_net
2023-12,Mauritius,-3,slt2_us_lt_total_net
2023-12,Memo: Euro Area,3401,slt1_for_lt_total_net
2023-12,Memo: Euro Area,-8340,slt2_us_lt_total_net
2023-12,Memo: European Union,4821,slt1_for_lt_total_net
2023-12,Memo: European Union,-9157,slt2_us_lt_total_net
2023-12,Mexico,-422,slt1_for_lt_total_net
2023-12,Mexico,776,slt2_us_lt_total_net
2023-12,Monaco,-2,slt1_for_lt_total_net
2023-12,Monaco,0,slt2_us_lt_total_net
2023-12,Morocco,-146,slt1_for_lt_total_net
2023-12,Morocco,-26,slt2_us_lt_total_net
2023-12,Netherlands,4959,slt1_for_lt_total_net
2023-12,Netherlands,-1112,slt2_us_lt_total_net
2023-12,New Zealand,-272,slt1_for_lt_total_net
2023-12,New Zealand,-99,slt2_us_lt_total_net
2023-12,Norway,16518,slt1_for_lt_total_net
2023-12,Norway,-419,slt2_us_lt_total_net
2023-12,Of Which: Asset-Backed Securities,11301,slt1_for_lt_total_net
2023-12,Of Which: Asset-Backed Securities,4982,slt2_us_lt_total_net
2023-12,Of Which: Depository Institutions,3062,slt1_for_lt_total_net
2023-12,Of Which: Depository Institutions,3774,slt2_us_lt_total_net
2023-12,Of Which: Foreign Non-Official,3231,slt1_for_lt_total_net
2023-12,Of Which: Foreign Non-Official Asset-Backed Securities,11091,slt1_for_lt_total_net
2023-12,Of Which: Foreign Non-Official Depository Institutions,2634,slt1_for_lt_total_net
2023-12,Of Which: Foreign Non-Official Fund Shares,158,slt1_for_lt_total_net
2023-12,Of Which: Foreign Non-Official Non-Financial Organizations,-5221,slt1_for_lt_total_net
2023-12,Of Which: Foreign Non-Official Other Financial Organizations,2500,slt1_for_lt_total_net
2023-12,Of Which: Foreign Non-Official State & Local General Government,261,slt1_for_lt_total_net
2023-12,Of Which: Foreign Official,31208,slt1_for_lt_total_net
2023-12,Of Which: Foreign Official Asset-Backed Securities,210,slt1_for_lt_total_net
2023-12,Of Which: Foreign Official Depository Institutions,428,slt1_for_lt_total_net
2023-12,Of Which: Foreign Official Fund Shares,557,slt1_for_lt_total_net
2023-12,Of Which: Foreign Official Non-Financial Organizations,7803,slt1_for_lt_total_net
2023-12,Of Which: Foreign Official Other Financial Organizations,642,slt1_for_lt_total_net
2023-12,Of Which: Foreign Official State & Local General Government,50,slt1_for_lt_total_net
2023-12,Of Which: Fund Shares,715,slt1_for_lt_total_net
2023-12,Of Which: Fund Shares,-10478,slt2_us_lt_total_net
2023-12,Of Which: Non-Financial Organizations,2582,slt1_for_lt_total_net
2023-12,Of Which: Non-Financial Organizations,2064,slt2_us_lt_total_net
2023-12,Of Which: Other Financial Organizations,3142,slt1_for_lt_total_net
2023-12,Of Which: Other Financial Organizations,-6856,slt2_us_lt_total_net
2023-12,Of Which: State & Local General Government,311,slt1_for_lt_total_net
2023-12,Pakistan,1,slt1_for_lt_total_net
2023-12,Pakistan,-9,slt2_us_lt_total_net
2023-12,Panama,207,slt1_for_lt_total_net
2023-12,Panama,-91,slt2_us_lt_total_net
2023-12,Peru,426,slt1_for_lt_total_net
2023-12,Peru,-75,slt2_us_lt_total_net
2023-12,Philippines,203,slt1_for_lt_total_net
2023-12,Philippines,108,slt2_us_lt_total_net
2023-12,Poland,-802,slt1_for_lt_total_net
2023-12,Poland,-39,slt2_us_lt_total_net
2023-12,Portugal,-12,slt1_for_lt_total_net
2023-12,Portugal,-103,slt2_us_lt_total_net
2023-12,Romania,-605,slt1_for_lt_total_net
2023-12,Romania,-68,slt2_us_lt_total_net
2023-12,Russia,-3,slt1_for_lt_total_net
2023-12,Russia,-18,slt2_us_lt_total_net
2023-12,Saint Kitts and Nevis,69,slt1_for_lt_total_net
2023-12,Saudi Arabia,618,slt1_for_lt_total_net
2023-12,Serbia,-87,slt1_for_lt_total_net
2023-12,Serbia,7,slt2_us_lt_total_net
2023-12,Singapore,-4001,slt1_for_lt_total_net
2023-12,Singapore,-403,slt2_us_lt_total_net
2023-12,South Africa,-92,slt1_for_lt_total_net
2023-12,South Africa,-518,slt2_us_lt_total_net
2023-12,Spain,-4746,slt1_for_lt_total_net
2023-12,Spain,-1271,slt2_us_lt_total_net
2023-12,Sweden,2602,slt1_for_lt_total_net
2023-12,Sweden,-571,slt2_us_lt_total_net
2023-12,Switzerland,8471,slt1_for_lt_total_net
2023-12,Switzerland,-1607,slt2_us_lt_total_net
2023-12,Syria,0,slt1_for_lt_total_net
2023-12,Taiwan,6839,slt1_for_lt_total_net
2023-12,Taiwan,1145,slt2_us_lt_total_net
2023-12,Thailand,-970,slt1_for_lt_total_net
2023-12,Thailand,-152,slt2_us_lt_total_net
2023-12,Total Africa,54,slt1_for_lt_total_net
2023-12,Total Africa,-781,slt2_us_lt_total_net
2023-12,Total Asia,-3306,slt1_for_lt_total_net
2023-12,Total Asia,1797,slt2_us_lt_total_net
2023-12,Total Caribbean,2942,slt1_for_lt_total_net
2023-12,Total Caribbean,-8176,slt2_us_lt_total_net
2023-12,Total Europe,37282,slt1_for_lt_total_net
2023-12,Total Europe,-12513,slt2_us_lt_total_net
2023-12,Total IROs,6685,slt1_for_lt_total_net
