month,country,net_flow_musd,table
2023-02,Memo: European Union,3505,slt2_us_lt_total_net
2023-02,Mexico,5031,slt1_for_lt_total_net
2023-02,Mexico,634,slt2_us_lt_total_net
2023-02,Monaco,-16,slt1_for_lt_total_net
2023-02,Monaco,-1,slt2_us_lt_total_net
2023-02,Morocco,113,slt1_for_lt_total_net
2023-02,Morocco,-66,slt2_us_lt_total_net
2023-02,Netherlands,3623,slt1_for_lt_total_net
2023-02,Netherlands,2575,slt2_us_lt_total_net
2023-02,New Zealand,295,slt1_for_lt_total_net
2023-02,New Zealand,517,slt2_us_lt_total_net
2023-02,Norway,21467,slt1_for_lt_total_net
2023-02,Norway,-828,slt2_us_lt_total_net
2023-02,Of Which: Asset-Backed Securities,17633,slt1_for_lt_total_net
2023-02,Of Which: Asset-Backed Securities,10388,slt2_us_lt_total_net
2023-02,Of Which: Depository Institutions,-798,slt1_for_lt_total_net
2023-02,Of Which: Depository Institutions,-1043,slt2_us_lt_total_net
2023-02,Of Which: Foreign Non-Official,73637,slt1_for_lt_total_net
2023-02,Of Which: Foreign Non-Official Asset-Backed Securities,15275,slt1_for_lt_total_net
2023-02,Of Which: Foreign Non-Official Depository Institutions,-888,slt1_for_lt_total_net
2023-02,Of Which: Foreign Non-Official Fund Shares,3310,slt1_for_lt_total_net
2023-02,Of Which: Foreign Non-Official Non-Financial Organizations,35401,slt1_for_lt_total_net
2023-02,Of Which: Foreign Non-Official Other Financial Organizations,23315,slt1_for_lt_total_net
2023-02,Of Which: Foreign Non-Official State & Local General Government,427,slt1_for_lt_total_net
2023-02,Of Which: Foreign Official,61683,slt1_for_lt_total_net
2023-02,Of Which: Foreign Official Asset-Backed Securities,2358,slt1_for_lt_total_net
2023-02,Of Which: Foreign Official Depository Institutions,90,slt1_for_lt_total_net
2023-02,Of Which: Foreign Official Fund Shares,-2659,slt1_for_lt_total_net
2023-02,Of Which: Foreign Official Non-Financial Organizations,13212,slt1_for_lt_total_net
2023-02,Of Which: Foreign Official Other Financial Organizations,-1152,slt1_for_lt_total_net
2023-02,Of Which: Foreign Official State & Local General Government,-122,slt1_for_lt_total_net
2023-02,Of Which: Fund Shares,651,slt1_for_lt_total_net
2023-02,Of Which: Fund Shares,41707,slt2_us_lt_total_net
2023-02,Of Which: Non-Financial Organizations,48613,slt1_for_lt_total_net
2023-02,Of Which: Non-Financial Organizations,20218,slt2_us_lt_total_net
2023-02,Of Which: Other Financial Organizations,22163,slt1_for_lt_total_net
2023-02,Of Which: Other Financial Organizations,-13723,slt2_us_lt_total_net
2023-02,Of Which: State & Local General Government,305,slt1_for_lt_total_net
2023-02,Pakistan,-4,slt1_for_lt_total_net
2023-02,Pakistan,-35,slt2_us_lt_total_net
2023-02,Panama,-45,slt1_for_lt_total_net
2023-02,Panama,359,slt2_us_lt_total_net
2023-02,Peru,755,slt1_for_lt_total_net
2023-02,Peru,39,slt2_us_lt_total_net
2023-02,Philippines,964,slt1_for_lt_total_net
2023-02,Philippines,83,slt2_us_lt_total_net
2023-02,Poland,1188,slt1_for_lt_total_net
2023-02,Poland,30,slt2_us_lt_total_net
2023-02,Portugal,28,slt1_for_lt_total_net
2023-02,Portugal,-169,slt2_us_lt_total_net
2023-02,Romania,807,slt1_for_lt_total_net
2023-02,Romania,434,slt2_us_lt_total_net
2023-02,Russia,-4,slt1_for_lt_total_net
2023-02,Russia,-34,slt2_us_lt_total_net
2023-02,Saint Kitts and Nevis,21,slt1_for_lt_total_net
2023-02,Saudi Arabia,366,slt1_for_lt_total_net
2023-02,Serbia,50,slt1_for_lt_total_net
2023-02,Serbia,-7,slt2_us_lt_total_net
2023-02,Singapore,14008,slt1_for_lt_total_net
2023-02,Singapore,-49,slt2_us_lt_total_net
2023-02,South Africa,-515,slt1_for_lt_total_net
2023-02,South Africa,-390,slt2_us_lt_total_net
2023-02,Spain,5316,slt1_for_lt_total_net
2023-02,Spain,1719,slt2_us_lt_total_net
2023-02,Sweden,-1049,slt1_for_lt_total_net
2023-02,Sweden,-1257,slt2_us_lt_total_net
2023-02,Switzerland,19267,slt1_for_lt_total_net
2023-02,Switzerland,-5482,slt2_us_lt_total_net
2023-02,Syria,0,slt1_for_lt_total_net
2023-02,Taiwan,5131,slt1_for_lt_total_net
2023-02,Taiwan,2284,slt2_us_lt_total_net
2023-02,Thailand,5460,slt1_for_lt_total_net
2023-02,Thailand,-729,slt2_us_lt_total_net
2023-02,Total Africa,-1767,slt1_for_lt_total_net
2023-02,Total Africa,-57,slt2_us_lt_total_net
2023-02,Total Asia,47392,slt1_for_lt_total_net
2023-02,Total Asia,-6100,slt2_us_lt_total_net
2023-02,Total Caribbean,15907,slt1_for_lt_total_net
2023-02,Total Caribbean,8313,slt2_us_lt_total_net
2023-02,Total Europe,57904,slt1_for_lt_total_net
2023-02,Total Europe,-5673,slt2_us_lt_total_net
2023-02,Total IROs,1529,slt1_for_lt_total_net
2023-02,Total IROs,4582,slt2_us_lt_total_net
2023-02,Total Latin America,10539,slt1_for_lt_total_net
2023-02,Total Latin America,2009,slt2_us_lt_total_net
2023-02,Total Other,-1073,slt1_for_lt_total_net
2023-02,Total Other,-240,slt2_us_lt_total_net
2023-02,Total Regional Orgs.,1962,slt1_for_lt_total_net
2023-02,Total Regional Orgs.,528,slt2_us_lt_total_net
2023-02,Trinidad and Tobago,195,slt1_for_lt_total_net
2023-02,Trinidad and Tobago,15,slt2_us_lt_total_net
2023-02,Turkey,-141,slt1_for_lt_total_net
2023-02,Turkey,-63,slt2_us_lt_total_net
2023-02,Ukraine,877,slt1_for_lt_total_net
2023-02,Ukraine,-41,slt2_us_lt_total_net
2023-02,United Arab Emirates,-501,slt1_for_lt_total_net
2023-02,United Arab Emirates,-603,slt2_us_lt_total_net
2023-02,United Kingdom,-6046,slt1_for_lt_total_net
2023-02,United Kingdom,-3428,slt2_us_lt_total_net
2023-02,Uruguay,460,slt1_for_lt_total_net
2023-02,Uruguay,69,slt2_us_lt_total_net
2023-02,Venezuela,83,slt1_for_lt_total_net
2023-02,Venezuela,10,slt2_us_lt_total_net
2023-03,All Countries,186876,slt1_for_lt_total_net
2023-03,All Countries,-27410,slt2_us_lt_total_net
2023-03,Anguilla,1428,slt1_for_lt_total_net
2023-03,Argentina,242,slt1_for_lt_total_net
2023-03,Argentina,-472,slt2_us_lt_total_net
2023-03,Aruba,-1,slt1_for_lt_total_net
2023-03,Aruba,-1,slt2_us_lt_total_net
2023-03,Australia,-5863,slt1_for_lt_total_net
2023-03,Australia,1100,slt2_us_lt_total_net
2023-03,Austria,163,slt1_for_lt_total_net
2023-03,Austria,21,slt2_us_lt_total_net
2023-03,Bahamas,-96,slt1_for_lt_total_net
2023-03,Bahamas,35,slt2_us_lt_total_net
2023-03,Barbados,-23,slt1_for_lt_total_net
2023-03,Barbados,-22,slt2_us_lt_total_net
2023-03,Belgium,-6718,slt1_for_lt_total_net
2023-03,Belgium,-1291,slt2_us_lt_total_net
2023-03,Bermuda,3232,slt1_for_lt_total_net
2023-03,Bermuda,1264,slt2_us_lt_total_net
2023-03,Brazil,3605,slt1_for_lt_total_net
2023-03,Brazil,-1084,slt2_us_lt_total_net
2023-03,British Virgin Islands,-3386,slt1_for_lt_total_net
2023-03,British Virgin Islands,119,slt2_us_lt_total_net
2023-03,Bulgaria,4,slt1_for_lt_total_net
2023-03,Bulgaria,-18,slt2_us_lt_total_net
2023-03,Canada,4812,slt1_for_lt_total_net
2023-03,Canada,3833,slt2_us_lt_total_net
2023-03,Cayman Islands,33846,slt1_for_lt_total_net
2023-03,Cayman Islands,-5595,slt2_us_lt_total_net
2023-03,Chile,-1123,slt1_for_lt_total_net
2023-03,Chile,-94,slt2_us_lt_total_net
2023-03,"China, Mainland",-2171,slt1_for_lt_total_net
2023-03,"China, Mainland",-4930,slt2_us_lt_total_net
2023-03,Colombia,1527,slt1_for_lt_total_net
2023-03,Colombia,-273,slt2_us_lt_total_net
2023-03,Costa Rica,512,slt1_for_lt_total_net
2023-03,Costa Rica,-21,slt2_us_lt_total_net
2023-03,Cuba,0,slt1_for_lt_total_net
2023-03,Cuba,17,slt2_us_lt_total_net
2023-03,Curacao,-58,slt1_for_lt_total_net
2023-03,Curacao,-849,slt2_us_lt_total_net
2023-03,Cyprus,19,slt1_for_lt_total_net
2023-03,Cyprus,-31,slt2_us_lt_total_net
2023-03,Czech Republic,548,slt1_for_lt_total_net
2023-03,Czech Republic,224,slt2_us_lt_total_net
2023-03,Denmark,681,slt1_for_lt_total_net
2023-03,Denmark,21,slt2_us_lt_total_net
2023-03,Ecuador,23,slt1_for_lt_total_net
2023-03,Ecuador,5,slt2_us_lt_total_net
2023-03,Egypt,27,slt1_for_lt_total_net
2023-03,Egypt,-249,slt2_us_lt_total_net
2023-03,Finland,45,slt1_for_lt_total_net
2023-03,Finland,-106,slt2_us_lt_total_net
2023-03,France,13453,slt1_for_lt_total_net
2023-03,France,859,slt2_us_lt_total_net
2023-03,Germany,3260,slt1_for_lt_total_net
2023-03,Germany,-2596,slt2_us_lt_total_net
2023-03,Grand Total,187269,slt1_for_lt_total_net
2023-03,Grand Total,-31996,slt2_us_lt_total_net
2023-03,Greece,-106,slt1_for_lt_total_net
2023-03,Greece,-59,slt2_us_lt_total_net
2023-03,Guatemala,69,slt1_for_lt_total_net
2023-03,Guatemala,-38,slt2_us_lt_total_net
2023-03,Guernsey,760,slt1_for_lt_total_net
2023-03,Guernsey,-1344,slt2_us_lt_total_net
2023-03,Hong Kong,911,slt1_for_lt_total_net
